id;reservation_date;start_time;end_time;reservation_id;user_id;resource_id
1;2025-05-30T00:00:00;2025-05-30T09:00:00;2025-05-30T11:00:00;always;1;1
2;2025-05-30T00:00:00;2025-05-30T14:00:00;2025-05-30T16:00:00;haze declaration;2;2
3;2025-05-29T00:00:00;2025-05-29T10:00:00;2025-05-29T12:00:00;woot tomb;1;3
4;2025-05-30T00:00:00;2025-05-30T08:00:00;2025-05-30T10:00:00;tackle victoriously puppet;1;4
5;2025-05-30T00:00:00;2025-05-30T13:00:00;2025-05-30T15:00:00;override;2;5
6;2025-05-30T00:00:00;2025-05-30T16:00:00;2025-05-30T18:00:00;while;2;6
7;2025-05-30T00:00:00;2025-05-30T11:00:00;2025-05-30T13:00:00;pacemaker pish save;2;7
8;2025-05-29T00:00:00;2025-05-29T15:00:00;2025-05-29T17:00:00;aw hornet over;1;8
9;2025-05-30T00:00:00;2025-05-30T17:00:00;2025-05-30T19:00:00;aw however;1;9
10;2025-05-29T00:00:00;2025-05-29T12:00:00;2025-05-29T14:00:00;malfunction consequently along;2;10
