id;title;author;keywords;resource_type
1;at eyeliner;impartial psst until;footrest;BOOK
2;arrogantly rejoin;limping loftily pace;gadzooks than;BOOK
3;annual culminate;gadzooks separate;stool labourer quiet;MEETING_ROOM
4;clamp;expansion awful;lest instead contrast;BOOK
5;in zowie besides;vamoose handsome between;puppet scientific enrich;BOOK
6;geez yuck vastly;blah phooey lest;er;MEETING_ROOM
7;yuck judgementally ah;before;stool gah;BOOK
8;produce nor excepting;fast;tenderly ugh;BOOK
9;putrefy;psst;but fooey;MEETING_ROOM
10;innocently;dissemble yet;as;EQUIPMENT
